iter	Passed	Remaining
0	168	168064
1	191	95634
2	200	66772
3	210	52397
4	215	42906
5	219	36315
6	225	32013
7	230	28608
8	235	25930
9	241	23938
10	245	22080
11	250	20640
12	255	19427
13	260	18330
14	263	17309
15	267	16432
16	270	15635
17	274	14972
18	278	14367
19	281	13787
20	284	13275
21	287	12792
22	290	12353
23	293	11945
24	296	11572
25	299	11229
26	302	10902
27	305	10597
28	308	10318
29	311	10066
30	314	9820
31	316	9582
32	319	9360
33	322	9152
34	324	8948
35	326	8754
36	329	8578
37	332	8409
38	334	8246
39	337	8090
40	339	7945
41	342	7806
42	344	7669
43	347	7542
44	349	7423
45	352	7308
46	355	7199
47	357	7091
48	360	6988
49	362	6889
50	365	6792
51	367	6701
52	369	6605
53	372	6518
54	374	6441
55	377	6362
56	379	6286
57	382	6212
58	385	6140
59	387	6072
60	390	6004
61	392	5941
62	395	5878
63	397	5815
64	399	5752
65	402	5693
66	404	5635
67	407	5580
68	409	5528
69	412	5476
70	414	5421
71	416	5372
72	419	5323
73	421	5275
74	423	5227
75	426	5185
76	428	5141
77	431	5099
78	433	5057
79	436	5018
80	438	4978
81	441	4939
82	443	4902
83	446	4865
84	448	4829
85	451	4795
86	453	4760
87	456	4726
88	458	4694
89	461	4662
90	463	4631
91	466	4602
92	468	4572
93	471	4544
94	473	4514
95	476	4484
96	478	4455
97	480	4426
98	483	4400
99	485	4373
100	488	4347
101	490	4319
102	492	4293
103	495	4269
104	497	4244
105	500	4221
106	503	4198
107	505	4174
108	507	4149
109	510	4127
110	512	4106
111	515	4085
112	517	4065
113	520	4043
114	522	4023
115	525	4003
116	527	3984
117	530	3962
118	532	3942
119	534	3920
120	537	3902
121	539	3884
122	541	3864
123	544	3846
124	546	3828
125	549	3809
126	551	3792
127	553	3773
128	556	3755
129	558	3740
130	561	3724
131	563	3706
132	565	3688
133	568	3672
134	570	3656
135	573	3640
136	575	3622
137	577	3605
138	579	3589
139	581	3572
140	583	3555
141	585	3540
142	587	3523
143	590	3508
144	592	3491
145	594	3475
146	596	3461
147	598	3445
148	600	3432
149	602	3416
150	605	3401
151	607	3386
152	609	3371
153	611	3357
154	613	3343
155	615	3330
156	617	3315
157	619	3303
158	622	3291
159	624	3280
160	627	3269
161	629	3257
162	632	3245
163	634	3233
164	636	3222
165	639	3212
166	641	3200
167	644	3190
168	646	3179
169	648	3168
170	651	3157
171	653	3147
172	656	3136
173	658	3125
174	661	3116
175	663	3107
176	665	3096
177	668	3087
178	671	3078
179	673	3067
180	675	3057
181	677	3046
182	680	3037
183	682	3028
184	685	3019
185	687	3009
186	690	3000
187	692	2991
188	695	2982
189	697	2973
190	699	2964
191	702	2956
192	704	2946
193	707	2937
194	709	2929
195	711	2920
196	714	2911
197	716	2902
198	719	2894
199	721	2885
200	724	2878
201	726	2871
202	729	2862
203	731	2854
204	734	2848
205	737	2840
206	739	2832
207	741	2824
208	744	2817
209	746	2809
210	749	2802
211	751	2795
212	754	2787
213	756	2780
214	759	2772
215	761	2765
216	764	2758
217	766	2751
218	769	2744
219	771	2735
220	774	2729
221	776	2722
222	779	2715
223	781	2707
224	783	2700
225	786	2693
226	788	2686
227	791	2679
228	793	2672
229	796	2666
230	798	2658
231	801	2652
232	803	2645
233	806	2639
234	808	2633
235	811	2627
236	814	2620
237	816	2614
238	818	2604
239	820	2598
240	822	2591
241	825	2585
242	827	2578
243	830	2572
244	832	2565
245	835	2559
246	837	2553
247	840	2547
248	842	2540
249	844	2532
250	846	2527
251	849	2521
252	852	2516
253	854	2510
254	857	2504
255	859	2498
256	862	2492
257	864	2486
258	866	2480
259	869	2473
260	871	2467
261	873	2461
262	875	2454
263	878	2448
264	880	2442
265	883	2436
266	885	2431
267	888	2425
268	890	2419
269	892	2413
270	895	2407
271	897	2402
272	900	2396
273	902	2391
274	905	2386
275	907	2380
276	908	2372
277	911	2367
278	914	2362
279	916	2356
280	918	2351
281	920	2344
282	923	2338
283	925	2333
284	927	2327
285	930	2322
286	932	2317
287	935	2312
288	937	2307
289	940	2301
290	942	2296
291	944	2291
292	947	2285
293	949	2280
294	951	2274
295	954	2269
296	956	2264
297	959	2259
298	961	2254
299	964	2249
300	966	2244
301	969	2239
302	971	2235
303	973	2229
304	976	2224
305	978	2219
306	981	2214
307	983	2209
308	986	2204
309	988	2200
310	991	2195
311	993	2191
312	995	2185
313	998	2181
314	1000	2175
315	1002	2170
316	1005	2165
317	1007	2161
318	1010	2156
319	1012	2152
320	1015	2147
321	1017	2142
322	1020	2138
323	1022	2133
324	1025	2129
325	1027	2124
326	1029	2119
327	1031	2114
328	1034	2109
329	1035	2103
330	1038	2098
331	1040	2093
332	1043	2089
333	1045	2085
334	1048	2081
335	1051	2077
336	1053	2072
337	1056	2068
338	1058	2063
339	1060	2059
340	1063	2055
341	1065	2050
342	1068	2045
343	1070	2041
344	1073	2037
345	1075	2033
346	1078	2028
